ticket_id,type,summary,description,work_notes,priority,impact,urgency,customer_request_type,status,category,sub_category,assignment_group,tools_used,resolution,user_confirmation,kb_ids_attached,created_at,closed_at
INC10421,INC,VPN disconnects after login,Remote users lose VPN access within five minutes of authentication,Validated client version and collected gateway logs; reset stale profile,P2,High,High,Service Restoration,Closed,Network,VPN,Network Operations,VPN Diagnostics,Rebuilt the user VPN profile and verified a stable thirty minute session,Confirmed in Teams,KB2044,2026-06-03T08:12:00Z,2026-06-03T12:36:00Z
INC10422,INC,VPN authentication timeout,User receives an authentication timeout from the remote access client,Reviewed MFA events and found repeated radius latency; escalated with evidence,P2,High,High,Service Restoration,Resolved,Network,VPN,Network Operations,VPN Diagnostics,Restarted the affected radius connector and confirmed successful sign in,Confirmed by phone,KB2044,2026-06-03T09:40:00Z,2026-06-03T16:15:00Z
INC10423,INC,Outlook shared mailbox missing,Finance shared mailbox disappeared after a profile update,Checked group membership and refreshed the Outlook profile,P3,Medium,Medium,Service Restoration,Closed,Software,Microsoft 365,Workplace Support,Microsoft 365 Admin,Restored automapping and rebuilt the local mail profile,Confirmed in email,KB1178,2026-06-04T07:20:00Z,2026-06-04T11:10:00Z
INC10424,INC,VDI session freezes,Virtual desktop becomes unresponsive during peak hours,Collected session metrics and found memory pressure on the host pool,P2,High,Medium,Service Restoration,On Hold,End User Computing,VDI,Virtual Workspace,Nexthink,Capacity change requested for the constrained host pool,Pending capacity change,,2026-06-04T10:05:00Z,
SR10425,SR,New starter access request,New analyst requires standard finance applications and shared folders,Validated manager approval and assigned standard access package,P3,Medium,Low,Access Request,Closed,Access,Onboarding,Identity and Access,Identity Portal,Provisioned the approved finance access package and validated login,Confirmed by manager,KB3301,2026-06-05T08:00:00Z,2026-06-05T15:45:00Z
INC10426,INC,Laptop cannot join WiFi,Corporate laptop repeatedly fails certificate authentication,Renewed device certificate and cleared the cached wireless profile,P2,Medium,High,Service Restoration,Closed,Network,Wireless,Workplace Support,WiFi Diagnostics,Issued a new device certificate and verified office wireless access,Confirmed at desk,KB2210,2026-06-05T09:16:00Z,2026-06-05T11:03:00Z
INC10427,INC,Password reset loop,Self service password reset returns user to the verification page,Reviewed identity logs; old mobile number remained registered,P3,Low,Medium,Service Restoration,Resolved,Access,Authentication,Identity and Access,Identity Portal,Updated authentication methods and completed a successful password reset,Confirmed by user,KB3012,2026-06-06T12:10:00Z,2026-06-06T14:48:00Z
INC10428,INC,VPN client will not launch,Remote access client closes immediately after startup,Collected crash report and removed a conflicting legacy network driver,P2,High,High,Service Restoration,Closed,Network,VPN,Network Operations,Nexthink,Removed the legacy driver and reinstalled the approved VPN client,Confirmed in Teams,KB2045,2026-06-07T06:52:00Z,2026-06-07T10:24:00Z
INC10429,INC,Teams audio device unavailable,Headset is visible to Windows but missing from Teams,Checked privacy policy and reset the Teams media device cache,P3,Low,Medium,Service Restoration,Closed,Software,Collaboration,Workplace Support,Nexthink,Reset the media cache and selected the approved headset,Confirmed on test call,KB1488,2026-06-07T13:20:00Z,2026-06-07T14:37:00Z
INC10430,INC,VDI profile loads slowly,Profile sign in takes more than twelve minutes for multiple users,Reviewed profile container metrics and identified an oversized cache,P2,Medium,High,Service Restoration,In Progress,End User Computing,VDI,Virtual Workspace,Nexthink,Cache cleanup policy prepared for deployment,Awaiting validation,,2026-06-08T08:33:00Z,
SR10431,SR,Finance folder access,Contractor needs read access to monthly close documentation,Validated data owner approval and least privilege scope,P3,Medium,Low,Access Request,Closed,Access,File Share,Identity and Access,Identity Portal,Added the approved read only group and validated folder access,Confirmed by requester,KB3308,2026-06-08T09:15:00Z,2026-06-08T13:02:00Z
INC10432,INC,LAN port has no connectivity,Desk move completed but the new network port remains inactive,Tested cable and device; traced the issue to a disabled switch port,P2,Medium,High,Service Restoration,Closed,Network,LAN,Network Operations,Network Console,Enabled the assigned switch port and verified network connectivity,Confirmed at desk,KB2194,2026-06-09T07:42:00Z,2026-06-09T09:26:00Z
